0,1,0 | 4,11,4 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=2
0,1,0 | 4,11,4 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=2
0,1,0 | 4,11,4 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 4,22,4 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=3
0,1,0 | 4,23,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 4,23,8 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=2
0,1,0 | 4,33,8 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=3
0,1,0 | 4,24,6 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=3
0,1,0 | 4,24,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 6,32,4 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=5
0,1,0 | 6,33,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 6,34,6 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=5
0,1,0 | 6,35,7 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=5
0,1,0 | 7,42,4 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 7,44,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 7,45,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 8,32,4 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 8,33,4 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=3
0,1,0 | 12,53,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 12,54,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 12,55,8 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
